canonical_name,aliases,allergen_group,common_concerns,notes,source_url
milk,"dairy;lactose;casein;whey;milk-protein;cow-milk;buttermilk;milk-solids;milk-powder;skimmed-milk-powder;ghee",milk,"common-allergen;lactose-intolerance-trigger","Cow's milk is one of the 9 major FDA allergens. Watch for hidden milk in baked goods, processed meats, chocolates.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
eggs,"egg;egg-white;egg-yolk;albumin;lysozyme;ovomucoid;dried-egg",eggs,"common-allergen","Eggs are one of the 9 major FDA allergens. Found in baked goods, pasta, mayonnaise, some wines.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
peanuts,"peanut;groundnut;arachis-oil;peanut-butter;peanut-oil",peanuts,"common-allergen;severe-reactions","Peanuts (groundnuts) are one of the 9 major FDA allergens. Even trace amounts can cause anaphylaxis.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
tree-nuts,"almond;cashew;walnut;pecan;pistachio;hazelnut;brazil-nut;macadamia-nut;chestnut;pine-nut",tree-nuts,"common-allergen;severe-reactions","Tree nuts are one of the 9 major FDA allergens. Each nut species has distinct allergenic proteins.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
soy,"soya;soybean;soy-protein;soy-lecithin;soy-flour;tofu;tempeh;edamame;textured-vegetable-protein;tvp",soy,"common-allergen","Soy is one of the 9 major FDA allergens. Very widely used in processed foods.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
wheat,"whole-wheat;wheat-flour;wheat-germ;wheat-bran;atta;maida;semolina;suji;durum;spelt;triticale",wheat,"common-allergen","Wheat is one of the 9 major FDA allergens. Distinct from celiac/gluten sensitivity.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
gluten,"gluten-containing-grains;wheat-gluten;barley;rye;triticale",gluten,"celiac-disease-trigger;wheat-allergy-trigger","Gluten is a protein in wheat, barley, rye. Celiac patients must strictly avoid. EU labelling requirement.",https://www.fda.gov/food/nutrition-education-resources-materials/gluten-and-food-labeling
fish,"finfish;cod;salmon;tuna;mackerel;sardines;anchovy;trout;haddock;snapper;tilapia;catfish",fish,"common-allergen","Fish is one of the 9 major FDA allergens. Different fish species have distinct allergenic proteins.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
shellfish,"crustacean;crab;lobster;shrimp;prawn;crayfish;mollusc;mollusk;oyster;mussel;clam;scallop;squid;octopus;cuttlefish;snail",shellfish,"common-allergen;severe-reactions","Shellfish (crustaceans and molluscs) is one of the 9 major FDA allergens.",https://www.fda.gov/food/food-allergensgluten-free-guidance-documents-regulatory-information/food-allergies
sesame,"sesame-seed;tahini;til;benne;gingelly-oil",sesame,"common-allergen","Sesame became the 9th major FDA allergen in 2023. Found in tahini, hummus, bread toppings.",https://www.fda.gov/food/food-labeling-nutrition/food-allergies
mustard,"mustard-seed;mustard-powder;mustard-flour;rai;sarson",mustard,"eu-listed-allergen","Mustard is one of the EU's 14 listed allergens. Common in dressings, sauces, processed meats.",https://www.fsai.ie/business-advice/food-allergens/allergens-by-name
celery,"celery-seed;celery-stalk;celeriac;celery-salt",celery,"eu-listed-allergen","Celery is one of the EU's 14 listed allergens. Found in stocks, soups, processed foods.",https://www.fsai.ie/business-advice/food-allergens/allergens-by-name
sulphites,"sulfites;sulphur-dioxide;sulfur-dioxide;E220;E221;E222;E223;E224;E225;E226;E227;E228",sulphites,"eu-listed-allergen;asthma-trigger","Sulphites must be declared if >10ppm. Common in wine, dried fruits, processed foods. Can trigger asthma.",https://www.fsai.ie/business-advice/food-allergens/allergens-by-name
lupin,"lupine;lupini;lupin-flour;lupin-bean",lupin,"eu-listed-allergen","Lupin is one of the EU's 14 listed allergens. Found in some bread and pasta as an alternative flour.",https://www.fsai.ie/business-advice/food-allergens/allergens-by-name
